Cust_ID,Email_Clicks,App_Clicks,SM_Clicks,SM_interactions,cluster
4,1.954504187085772,-0.3659117455096453,1.322465238431869,-0.8215807069503768,0
5,-0.45492833642346037,-0.5411778192778863,-0.4449249854356253,0.8372464004646131,1
6,-0.7085528125823269,-0.4827557946884727,-0.6309660616322036,0.9099305071422954,1
9,1.743150456953383,-0.5119668069831795,2.1906569273492345,-0.9470337689131446,0
10,0.5172988221855281,-0.5411778192778863,0.7953488558748969,-0.8772386527020616,0
11,1.7008797109269054,-0.45354478239376583,1.94260215908713,-0.8215807069503768,0
12,-0.5817405745028936,-0.4827557946884727,-0.6929797536977297,0.21345378030494874,1
15,1.447255234768039,-0.424333770099059,0.82635570190766,-0.8139895339753705,0
18,-0.877635796688238,-0.5411778192778863,-0.5689523695666775,0.9645131511193655,1
19,-0.6240113205293714,-0.5119668069831795,-0.3829112933700992,1.0209694880313331,1
20,1.7008797109269054,-0.424333770099059,1.0744104701697645,-0.8523446565118147,0
21,-0.5394698284764159,-0.4827557946884727,-0.7549934457632559,0.9863337153168511,1
24,-0.45492833642346037,-0.5411778192778863,-0.47593183146838836,0.054070991862356206,1
25,-0.11676236821163827,1.708070127414541,-0.8790208298943081,-0.8869503029422963,2
28,-0.7508235586088047,-0.5703888315725932,-0.6929797536977297,0.6592088247429219,1
30,0.8131940443708725,-0.4827557946884727,1.7565610828905516,-0.8652219595078919,0
31,1.9967749331122497,-0.5703888315725932,1.446492622562921,-0.9853888914495886,0
33,0.010049869867795018,0.5980516602156807,-0.47593183146838836,-0.765922761198692,2
35,-0.5817405745028936,-0.5703888315725932,-0.6619729076649666,0.7598601112785239,1
36,-0.7930943046352824,-0.5411778192778863,-0.6929797536977297,1.5625511652868755,1
42,0.5172988221855281,-0.39512275780435213,1.353472084464632,-0.7922611905409663,0
43,2.2503994092711164,-0.5411778192778863,1.0123967781042384,-0.7855306273678678,0
44,-0.32811609834402705,-0.5703888315725932,-0.6619729076649666,0.832174962416249,1
45,1.9967749331122497,-0.39512275780435213,1.415485776530158,-0.7418893748103527,0
46,-0.9199065427147157,-0.5411778192778863,-0.47593183146838836,1.5719859049127785,1
48,-0.877635796688238,-0.5119668069831795,-0.7860002917960189,1.11824055400093,1
50,-1.0044480347676712,3.051776692971056,-0.9100276759270711,-0.7456388509163151,2
58,-0.7930943046352824,-0.5411778192778863,-0.41391813940286226,1.3090632119556174,1
59,-0.2858453523175493,-0.5411778192778863,-0.3519044473373361,0.7691726280198893,1
